,pval,lpval,species,factor,factor_type,cell_line,cell_type,tissue,qc,TF
33852|SF1,1.45072864103368E-05,-4.83841381480065,Homo sapiens,SF1,not sure,H295R,Epithelium,Adrenal Gland,1,SF1
77257|ZNF75A,1.4702198354255E-05,-4.8326177222763,Homo sapiens,ZNF75A,tf,MCF-7,None,None,1,ZNF75A
63007|ZNF8,1.49264308940689E-05,-4.82604402538377,Homo sapiens,ZNF8,,HEK293,Epithelium,Embryonic Kidney,1,ZNF8
50172|HIRA,1.56974382561348E-05,-4.80417121650804,Homo sapiens,HIRA,predicted transcription factor,IMR90,Fibroblast,Lung,1,HIRA
54243|FOXO1,1.58708069147306E-05,-4.79940099197823,Homo sapiens,FOXO1,tf,None,Stromal Cell,Endometrium,1,FOXO1
62985|ZNF391,1.76322019085906E-05,-4.75369344963839,Homo sapiens,ZNF391,,HEK293,Epithelium,Embryonic Kidney,1,ZNF391
36234|XRN2,1.8395533117499E-05,-4.73528762144345,Homo sapiens,XRN2,not sure,HEK293,Epithelium,Embryonic Kidney,1,XRN2
64370|MYNN,1.84090507725498E-05,-4.73496860448196,Homo sapiens,MYNN,tf,K562,Erythroblast,Bone Marrow,1,MYNN
71037|EHMT2,1.88107183712871E-05,-4.72559461865863,Homo sapiens,EHMT2,cr,None,Cancer stem cell,Colon,1,EHMT2
38575|HSF2,1.89038654761498E-05,-4.72344938189482,Homo sapiens,HSF2,tf,K562,Erythroblast,Bone Marrow,0,HSF2
53077|RBP2,1.92123401844269E-05,-4.71641973210431,Homo sapiens,RBP2,other,U937,None,Pleura,1,RBP2
32849|HOTAIR,1.99204500519468E-05,-4.7007008540213,Homo sapiens,HOTAIR,other,MDA-231,Epithelium,Mammary Gland,1,HOTAIR
63763|ZNF48,2.0273745258037E-05,-4.69306601476776,Homo sapiens,ZNF48,,HEK293,Epithelium,Embryonic Kidney,1,ZNF48
62905|DIDO1,2.21770895029727E-05,-4.65409545078103,Homo sapiens,DIDO1,,K562,Erythroblast,Bone Marrow,1,DIDO1
69247|SIX2,2.26176726815241E-05,-4.64555208524486,Homo sapiens,SIX2,tf,None,Cortex,Kidney,1,SIX2
48576|KDM6B,2.28064452694743E-05,-4.64194240083287,Homo sapiens,KDM6B,cr,CUTLL1,T Lymphocyte,Blood,1,KDM6B
50979|GATA6,2.33915374669436E-05,-4.63094123216837,Homo sapiens,GATA6,tf,PaTu8988S,None,Pancreatic ductal,0,GATA6
2400|TDRD3,2.57609418894966E-05,-4.58903826204465,Homo sapiens,TDRD3,cr,MCF-7,Epithelium,Breast,1,TDRD3
38830|FEV,2.61892979308009E-05,-4.58187614376132,Homo sapiens,FEV,tf,LoVo,None,Colon,1,FEV
38709|GLIS3,2.6416878417479E-05,-4.57811850262455,Homo sapiens,GLIS3,tf,LoVo,None,Colon,0,GLIS3
57670|PCGF1,2.74657635460085E-05,-4.56120832312328,Homo sapiens,PCGF1,cr,K562,Erythroblast,Bone Marrow,1,PCGF1
64094|CTBP1,2.77820624072223E-05,-4.55623551745984,Homo sapiens,CTBP1,tf,MCF-7,Epithelium,Breast,1,CTBP1
76837|GCSAM,2.81896571917573E-05,-4.54991020545629,Homo sapiens,GCSAM,other,HeLa,Epithelium,Cervix,1,GCSAM
45732|SMARCC1,2.86265914392625E-05,-4.54323036023012,Homo sapiens,SMARCC1,cr,HeLa-S3,Epithelium,Cervix,1,SMARCC1
75571|HAP1,3.01750982555915E-05,-4.52035130708673,Homo sapiens,HAP1,other,None,None,None,1,HAP1
58186|BANF1,3.24071790408498E-05,-4.48935877150753,Homo sapiens,BANF1,other,None,Keratinocyte,None,1,BANF1
63270|DROSHA,3.34287163713531E-05,-4.47588029955285,Homo sapiens,DROSHA,,HepG2,Epithelium,Liver,1,DROSHA
62991|GLI4,3.37916849502129E-05,-4.47119015251822,Homo sapiens,GLI4,,HEK293,Epithelium,Embryonic Kidney,1,GLI4
71758|NANOG,3.45981006880103E-05,-4.46094774176668,Homo sapiens,NANOG,tf,LNCaP,Epithelium,Prostate,1,NANOG
280|BRD7,3.55520961339284E-05,-4.44913478839241,Homo sapiens,BRD7,tf,BJ,Fibroblast,Skin,1,BRD7
64128|MEF2D,4.03951414814086E-05,-4.3936708664414,Homo sapiens,MEF2D,tf,K562,Erythroblast,Bone Marrow,1,MEF2D
63031|t-IgG-control,4.3593024370292E-05,-4.36058299971906,Homo sapiens,t-IgG-control,,None,None,Liver,1,t-IgG-control
65082|ZNF778,4.40856899793785E-05,-4.35570235773228,Homo sapiens,ZNF778,,HEK293,Epithelium,Embryonic Kidney,1,ZNF778
63641|ZNF140,4.45582073689277E-05,-4.35107228968,Homo sapiens,ZNF140,,HEK293,Epithelium,Embryonic Kidney,1,ZNF140
64770|SRSF3,4.84282372977818E-05,-4.31490133821711,Homo sapiens,SRSF3,,HepG2,Epithelium,Liver,1,SRSF3
63019|DEK,4.92015798086998E-05,-4.30802095228984,Homo sapiens,DEK,predicted chromatin regulator,HeLa-S3,Epithelium,Cervix,1,DEK
64012|SCRT1,4.93173423291582E-05,-4.30700033521663,Homo sapiens,SCRT1,,HEK293,Epithelium,Embryonic Kidney,1,SCRT1
44562|EMX1,4.96734820931155E-05,-4.30387539505168,Homo sapiens,EMX1,tf,293FT,None,Embryonic Kidney,1,EMX1
38638|ZFHX3,5.67668269026989E-05,-4.24590538086993,Homo sapiens,ZFHX3,tf,LoVo,None,Colon,0,ZFHX3
39915|ELL,5.73862925360991E-05,-4.24119183211181,Homo sapiens,ELL,predicted chromatin regulator,HCT-116,None,Colon,0,ELL
64839|NONO,5.77096695922874E-05,-4.23875141216954,Homo sapiens,NONO,,MCF-7,Epithelium,Breast,1,NONO
72426|ORC2,5.86766232953395E-05,-4.23153488675781,Homo sapiens,ORC2,tf,K562,Erythroblast,Bone Marrow,1,ORC2
38712|ETS2,5.95840473086029E-05,-4.22487000021306,Homo sapiens,ETS2,tf,LoVo,None,Colon,1,ETS2
64200|ZNF792,6.48104828332996E-05,-4.18835474307306,Homo sapiens,ZNF792,,HEK293,Epithelium,Embryonic Kidney,1,ZNF792
38865|E2F2,7.07771120398437E-05,-4.15010716211031,Homo sapiens,E2F2,tf,LoVo,None,Colon,1,E2F2
63846|MCM7,7.12884468811459E-05,-4.14698084689868,Homo sapiens,MCM7,,K562,Erythroblast,Bone Marrow,1,MCM7
38661|CAMTA2,7.17105176217259E-05,-4.14441714265729,Homo sapiens,CAMTA2,tf,LoVo,None,Colon,1,CAMTA2
77261|ZNF597,7.38609341611185E-05,-4.13158520388172,Homo sapiens,ZNF597,tf,GM12878,B Lymphocyte,Blood,1,ZNF597
38739|ELF2,7.46474417805954E-05,-4.12698507125588,Homo sapiens,ELF2,tf,LoVo,None,Colon,1,ELF2
64314|ZNF664,7.52107071242403E-05,-4.12372032810564,Homo sapiens,ZNF664,,HEK293,Epithelium,Embryonic Kidney,1,ZNF664
77137|ZNF333,7.95361002636219E-05,-4.09943570673085,Homo sapiens,ZNF333,tf,293T,None,None,1,ZNF333
77183|ZKSCAN5,8.00686183608512E-05,-4.09653766547853,Homo sapiens,ZKSCAN5,tf,293T,None,None,1,ZKSCAN5
38858|MECOM,8.19755819141399E-05,-4.0863154917528,Homo sapiens,MECOM,tf,LoVo,None,Colon,1,MECOM
62899|ZNF346,8.26984176246493E-05,-4.0825028002837,Homo sapiens,ZNF346,,HEK293,Epithelium,Embryonic Kidney,1,ZNF346
63631|ZNF501,8.48673919766618E-05,-4.0712591437353,Homo sapiens,ZNF501,,HEK293,Epithelium,Embryonic Kidney,1,ZNF501
77505|None,8.85905806837783E-05,-4.05261245164031,Homo sapiens,None,None,None,Patient,None,1,None
1082|SMAD2/3,9.18252201751457E-05,-4.03703802164604,Homo sapiens,SMAD2/3,tf,H9,Embryonic Stem Cell,Embryo,1,SMAD2/3
45897|ARID3A,9.28429001414433E-05,-4.03225130191115,Homo sapiens,ARID3A,tf,K562,Erythroblast,Bone Marrow,1,ARID3A
70179|DNMT3A,0.000103344754660784,-3.98571156141393,Homo sapiens,DNMT3A,cr,None,Stem cell,Foreskin,1,DNMT3A
64446|OVOL3,0.000108418675466682,-3.96489590272804,Homo sapiens,OVOL3,,HEK293,Epithelium,Embryonic Kidney,1,OVOL3
70928|RBBP4,0.000115609933213801,-3.93700484969915,Homo sapiens,RBBP4,cr,T98G,Glioblastoma cell,None,1,RBBP4
63049|ZNF292,0.000123071951339537,-3.90984091348992,Homo sapiens,ZNF292,,HEK293,Epithelium,Embryonic Kidney,1,ZNF292
63394|ZNF488,0.000125613395592861,-3.90096404434206,Homo sapiens,ZNF488,,HEK293,Epithelium,Embryonic Kidney,1,ZNF488
68002|GRHL2,0.000127001986755526,-3.89618948510536,Homo sapiens,GRHL2,tf,OVCA429,None,None,1,GRHL2
54381|LMTK3,0.000141984385092664,-3.84775941506045,Homo sapiens,LMTK3,not sure,MDA-MB-231,Epithelium,Breast,1,LMTK3
73713|AFF1,0.000143960090155215,-3.84175789004149,Homo sapiens,AFF1,tf,SEM,B Lymphocyte,None,1,AFF1
46227|FOXA2,0.000144106544291533,-3.84131629618001,Homo sapiens,FOXA2,tf,HepG2,Epithelium,Liver,1,FOXA2
45889|BDP1,0.000150213538061716,-3.82329092458522,Homo sapiens,BDP1,tf,K562,Erythroblast,Bone Marrow,1,BDP1
47578|TTF1,0.000152820099409645,-3.8158195221436,Homo sapiens,TTF1,tf,NCI-H441,Epithelium,Lung,1,TTF1
65049|MCM3,0.000154010844290786,-3.81244869832044,Homo sapiens,MCM3,,K562,Erythroblast,Bone Marrow,1,MCM3
38747|TOX4,0.000156151248579983,-3.80645453881624,Homo sapiens,TOX4,tf,LoVo,None,Colon,0,TOX4
38719|DLX1,0.000160979897292912,-3.79322835402937,Homo sapiens,DLX1,tf,LoVo,None,Colon,1,DLX1
50898|PAX6,0.000168849289496287,-3.77250076249965,Homo sapiens,PAX6,tf,6540 cells,Epithelium,None,1,PAX6
63410|CBX5,0.000169951550386016,-3.76967486920378,Homo sapiens,CBX5,cr,GM12878,B Lymphocyte,Blood,1,CBX5
69218|BIRA,0.000173301082230959,-3.76119872519453,Homo sapiens,BIRA,not sure,BJAB,GCB DLBCL cells,None,1,BIRA
4929|TAFII,0.000181191346076692,-3.74186254860672,Homo sapiens,TAFII,not sure,H1,Embryonic Stem Cell,Embryo,1,TAFII
77073|ZNF619,0.000187525214214668,-3.72694032975984,Homo sapiens,ZNF619,tf,293T,None,None,0,ZNF619
64978|WT1,0.000188368928217664,-3.72499073326557,Homo sapiens,WT1,tf,HEK293,Epithelium,Embryonic Kidney,1,WT1
65216|ZNF563,0.000197397177943981,-3.70465906044104,Homo sapiens,ZNF563,,HEK293,Epithelium,Embryonic Kidney,1,ZNF563
64561|SNRNP70,0.000199211679168088,-3.7006852038161,Homo sapiens,SNRNP70,,K562,Erythroblast,Bone Marrow,1,SNRNP70
42719|HOXA13,0.000204884948747097,-3.6884899445572,Homo sapiens,HOXA13,tf,LoVo,None,Colon,0,HOXA13
62981|ZBED1,0.000208445572425275,-3.68100732525197,Homo sapiens,ZBED1,,GM12878,B Lymphocyte,Blood,1,ZBED1
73950|ZNF3,0.000210427425381299,-3.67689765845576,Homo sapiens,ZNF3,tf,293T,None,None,1,ZNF3
54631|NCAPG2,0.00021176238893128,-3.67415117232146,Homo sapiens,NCAPG2,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,NCAPG2
64575|MAFG,0.000212268256527703,-3.6731149471699,Homo sapiens,MAFG,tf,K562,Erythroblast,Bone Marrow,1,MAFG
2685|ZNF711,0.000239725532716673,-3.62028570761249,Homo sapiens,ZNF711,predicted transcription factor,SH-SY5Y,None,Bone Marrow,1,ZNF711
64441|ZSCAN20,0.000240859185070497,-3.61823678738413,Homo sapiens,ZSCAN20,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN20
44348|PPARD,0.00024859066721511,-3.60451518001079,Homo sapiens,PPARD,tf,None,Endothelial Cell,Umbilical Vein,0,PPARD
50162|ARRB1,0.000254541254725016,-3.59424181942771,Homo sapiens,ARRB1,tf,C4-2,Epithelium,None,1,ARRB1
64693|ZNF382,0.000254880780944822,-3.59366291087947,Homo sapiens,ZNF382,,HEK293,Epithelium,Embryonic Kidney,1,ZNF382
76709|MGEA5,0.000290666400388995,-3.53660516764137,Homo sapiens,MGEA5,other,BJAB,None,None,1,MGEA5
64307|ZNF837,0.000294801850485527,-3.53046979471689,Homo sapiens,ZNF837,,HEK293,Epithelium,Embryonic Kidney,1,ZNF837
63015|TSHZ1,0.000304337109629904,-3.51664508830939,Homo sapiens,TSHZ1,tf,HEK293,Epithelium,Embryonic Kidney,1,TSHZ1
63872|ZNF138,0.000317256795452636,-3.49858906680308,Homo sapiens,ZNF138,,HEK293,Epithelium,Embryonic Kidney,1,ZNF138
68236|POU2F1,0.000327580898929425,-3.48468142965703,Homo sapiens,POU2F1,tf,LNCaP,Epithelium,Prostate,1,POU2F1
73979|ZFP57,0.000350547627991193,-3.4552529672308,Homo sapiens,ZFP57,tf,293T,None,None,1,ZFP57
64674|ZNF707,0.000355791399225924,-3.44880455460473,Homo sapiens,ZNF707,,HEK293,Epithelium,Embryonic Kidney,1,ZNF707
65116|FEZF1,0.000360981875930366,-3.44251460247391,Homo sapiens,FEZF1,,HEK293,Epithelium,Embryonic Kidney,1,FEZF1
54255|NR3C2,0.000389892388005075,-3.40905524360058,Homo sapiens,NR3C2,tf,None,None,Kidney,1,NR3C2
42772|MXD3,0.000395297072244449,-3.40307640223378,Homo sapiens,MXD3,tf,LoVo,None,Colon,1,MXD3
46241|MYBL2,0.000417234636705344,-3.37961964582171,Homo sapiens,MYBL2,tf,HepG2,Epithelium,Liver,1,MYBL2
46115|POU2F2,0.000427583113022823,-3.3689794551607,Homo sapiens,POU2F2,tf,GM12878,B Lymphocyte,Blood,1,POU2F2
77065|ZNF674,0.00042896059963754,-3.36758259626708,Homo sapiens,ZNF674,tf,293T,None,None,1,ZNF674
52715|DYRK1A,0.000451605568885571,-3.34524071129676,Homo sapiens,DYRK1A,not sure,T98G,None,Brain,1,DYRK1A
5364|SMAD2,0.000478625877656569,-3.32000382427746,Homo sapiens,SMAD2,predicted transcription factor,H9,Embryonic Stem Cell,Embryo,0,SMAD2
44098|FOXP3,0.000479873553824728,-3.31887318368806,Homo sapiens,FOXP3,tf,None,T Lymphocyte,Blood,1,FOXP3
45787|SMARCC2,0.000493923697992893,-3.30634013629919,Homo sapiens,SMARCC2,cr,HeLa-S3,Epithelium,Cervix,1,SMARCC2
50820|EHF,0.000496496384658096,-3.30408390956287,Homo sapiens,EHF,tf,Calu-3,Epithelium,Lung,1,EHF
54104|DAXX,0.000511008116040213,-3.29157220216766,Homo sapiens,DAXX,not sure,PC-3,Epithelium,Prostate,1,DAXX
42844|NFE2L1,0.000527266272384752,-3.27797000827344,Homo sapiens,NFE2L1,tf,LoVo,None,Colon,0,NFE2L1
69995|CHD4,0.00058304930621772,-3.23429471708862,Homo sapiens,CHD4,cr,LNCaP,Epithelium,Prostate,1,CHD4
42862|PRDM4,0.000596707292836118,-3.22423865426395,Homo sapiens,PRDM4,tf,LoVo,None,Colon,0,PRDM4
76885|TERT,0.000597306505753292,-3.22380275497105,Homo sapiens,TERT,other,P493,None,None,1,TERT
42711|DR1,0.000618551746039586,-3.20862396284259,Homo sapiens,DR1,tf,LoVo,None,Colon,1,DR1
63653|SP7,0.000620731268432262,-3.2070963771125,Homo sapiens,SP7,,HEK293,Epithelium,Embryonic Kidney,1,SP7
74047|SPDEF,0.000672621405389373,-3.17222931588763,Homo sapiens,SPDEF,tf,A549,Epithelium,Lung,1,SPDEF
43825|TERF1,0.000709205348871256,-3.14922799758253,Homo sapiens,TERF1,predicted chromatin regulator,LCL,Lymphoblastoid,Blood,1,TERF1
43088|7SK,0.00072807026083821,-3.13782670801946,Homo sapiens,7SK,other,HEK293T,Epithelium,Embryonic Kidney,0,7SK
77039|ZNF783,0.00074655343586244,-3.12693910144246,Homo sapiens,ZNF783,tf,293T,None,None,1,ZNF783
76999|PITX3,0.000761908599159311,-3.11809712480425,Homo sapiens,PITX3,tf,SH-SY5Y,Neuron,Midbrain,1,PITX3
"56245|TEAD1, TEAD4",0.000805088930983022,-3.09415614435015,Homo sapiens,"TEAD1, TEAD4",tf,CClp1,None,None,1,"TEAD1, TEAD4"
77271|L3MBTL4,0.000816619249533857,-3.0879803870045,Homo sapiens,L3MBTL4,tf,HepG2,Epithelium,Liver,1,L3MBTL4
65073|ZNF280A,0.000832425757819999,-3.07965448984194,Homo sapiens,ZNF280A,,HEK293,Epithelium,Embryonic Kidney,1,ZNF280A
77150|ZNF273,0.000839944596477849,-3.07574935945894,Homo sapiens,ZNF273,tf,293T,None,None,1,ZNF273
77132|ZNF354B,0.000858839736830208,-3.06608786981701,Homo sapiens,ZNF354B,tf,293T,None,None,1,ZNF354B
64289|ZSCAN23,0.000874031443987011,-3.05847294298985,Homo sapiens,ZSCAN23,,HEK293,Epithelium,Embryonic Kidney,1,ZSCAN23
38174|EBNA3,0.000922622871306733,-3.03497578367617,Homo sapiens,EBNA3,other,Mutu III,B Lymphocyte,None,1,EBNA3
48356|PCGF2,0.00101753178246466,-2.99245201676274,Homo sapiens,PCGF2,cr,None,Fibroblast,None,1,PCGF2
4598|STAT6,0.00102685434513189,-2.98849115483665,Homo sapiens,STAT6,tf,None,T Lymphocyte,Cord blood,1,STAT6
48799|ZNF750,0.001077849851844,-2.96744173363656,Homo sapiens,ZNF750,tf,None,Keratinocyte,Foreskin,1,ZNF750
65131|ZNF350,0.00107975037375202,-2.96667663695084,Homo sapiens,ZNF350,,HEK293,Epithelium,Embryonic Kidney,1,ZNF350
53304|FUS,0.00112834928766414,-2.94755644093438,Homo sapiens,FUS,other,TSU-1621-MT,None,None,1,FUS
64414|HMBOX1,0.00138079651053813,-2.85987031914911,Homo sapiens,HMBOX1,,K562,Erythroblast,Bone Marrow,1,HMBOX1
63460|MTA3,0.00139942559107353,-2.85405018847704,Homo sapiens,MTA3,tf,MCF-7,Epithelium,Breast,1,MTA3
63316|SCRT2,0.00149609061764933,-2.82504210062049,Homo sapiens,SCRT2,,HEK293,Epithelium,Embryonic Kidney,1,SCRT2
77104|ZNF506,0.00152185424112838,-2.81762694106413,Homo sapiens,ZNF506,tf,293T,None,None,1,ZNF506
49954|KDM3A,0.00157229799779041,-2.8034651386205,Homo sapiens,KDM3A,cr,Jurkat,T Lymphocyte,Blood,1,KDM3A
63399|ZFP37,0.00157364206481692,-2.80309404386547,Homo sapiens,ZFP37,,HEK293,Epithelium,Embryonic Kidney,1,ZFP37
58466|ARID2,0.00169925033906743,-2.76974263474682,Homo sapiens,ARID2,predicted transcription factor,HepG2,Epithelium,Liver,0,ARID2
69364|MYCN,0.00170881049955596,-2.76730609617939,Homo sapiens,MYCN,tf,SK-N-BE(2)-C,Neuroblastoma cell,None,1,MYCN
46251|MBD4,0.00181881345824514,-2.74021184090855,Homo sapiens,MBD4,cr,HepG2,Epithelium,Liver,1,MBD4
62526|ZNF2,0.00214286174284678,-2.66900584867619,Homo sapiens,ZNF2,,HEK293,Epithelium,Embryonic Kidney,1,ZNF2
57662|BAHD1,0.00227552787947849,-2.64291783920417,Homo sapiens,BAHD1,both predicted transcription factor and chromatin regulator,HEK293,Epithelium,Embryonic Kidney,1,BAHD1
77112|ZNF479,0.00230223664831558,-2.63785003701584,Homo sapiens,ZNF479,tf,293T,None,None,1,ZNF479
77130|ZNF398,0.00243851161621161,-2.61287517124133,Homo sapiens,ZNF398,tf,293T,None,None,1,ZNF398
46131|RUNX3,0.00251023652179971,-2.60028535609943,Homo sapiens,RUNX3,tf,GM12878,B Lymphocyte,Blood,1,RUNX3
43894|HOXC9,0.00285195389577103,-2.54485749949832,Homo sapiens,HOXC9,tf,BE2-C,Neuroblast,Brain,1,HOXC9
43555|CBX4,0.00286489252419242,-2.54289166585215,Homo sapiens,CBX4,cr,HEK293T,Epithelium,Embryonic Kidney,1,CBX4
65152|SNAI1,0.00302700951280194,-2.51898621420996,Homo sapiens,SNAI1,tf,HEK293,Epithelium,Embryonic Kidney,0,SNAI1
65195|ZNF224,0.00313204772849002,-2.50417162845895,Homo sapiens,ZNF224,,HEK293,Epithelium,Embryonic Kidney,1,ZNF224
54657|TLX1,0.00314295289708699,-2.50266212763291,Homo sapiens,TLX1,tf,ALL-SIL,T Lymphocyte,Blood,1,TLX1
77163|ZNF19,0.00314347906285672,-2.50258942792269,Homo sapiens,ZNF19,tf,293T,None,None,1,ZNF19
5823|DUX4,0.00315427718167216,-2.50110014576253,Homo sapiens,DUX4,other,None,Myoblast,Muscle,0,DUX4
45950|MAFF,0.00322093433465182,-2.49201812907322,Homo sapiens,MAFF,tf,K562,Erythroblast,Bone Marrow,1,MAFF
63428|INSM2,0.00332718907942703,-2.47792251809166,Homo sapiens,INSM2,,HEK293,Epithelium,Embryonic Kidney,1,INSM2
42696|MYF6,0.00332880037017808,-2.47771224891954,Homo sapiens,MYF6,tf,LoVo,None,Colon,1,MYF6
38799|GMEB1,0.00349965946575026,-2.4559742126042,Homo sapiens,GMEB1,tf,LoVo,None,Colon,1,GMEB1
77098|ZNF534,0.00358728639087963,-2.44523395005565,Homo sapiens,ZNF534,tf,293T,None,None,1,ZNF534
77033|ZNF793,0.00368817747322053,-2.43318818908644,Homo sapiens,ZNF793,other,293T,None,None,1,ZNF793
36354|SNAPC2,0.0037163381889892,-2.42988477182348,Homo sapiens,SNAPC2,not sure,IMR90,Fibroblast,Lung,0,SNAPC2
62619|CHAMP1,0.00375995163902476,-2.42481774098717,Homo sapiens,CHAMP1,,K562,Erythroblast,Bone Marrow,1,CHAMP1
64872|ZBTB49,0.00390249127409797,-2.4086580593393,Homo sapiens,ZBTB49,,HEK293,Epithelium,Embryonic Kidney,1,ZBTB49
77128|ZNF425,0.00400415753412747,-2.39748884456524,Homo sapiens,ZNF425,other,293T,None,None,1,ZNF425
38812|ASCL2,0.00403595444579824,-2.39405374433059,Homo sapiens,ASCL2,tf,LoVo,None,Colon,1,ASCL2
77266|ZSCAN2,0.00404371013906218,-2.39321998303097,Homo sapiens,ZSCAN2,tf,HepG2,Epithelium,Liver,1,ZSCAN2
44131|SRCAP,0.00407204506644365,-2.39018742418812,Homo sapiens,SRCAP,cr,None,T Lymphocyte,Blood,1,SRCAP
42718|HHEX,0.00419355832996354,-2.37741731182022,Homo sapiens,HHEX,tf,LoVo,None,Colon,0,HHEX
966|PRDM14,0.00424845698343823,-2.37176877471584,Homo sapiens,PRDM14,tf,H1,Embryonic Stem Cell,Embryo,1,PRDM14
42668|HNF1B,0.00437977432198078,-2.35854826694876,Homo sapiens,HNF1B,tf,LoVo,None,Colon,0,HNF1B
49193|CSNK2A1,0.0044200276524563,-2.35457501362113,Homo sapiens,CSNK2A1,other,LNCaP,Epithelium,Prostate,1,CSNK2A1
62558|PLRG1,0.00442611186645414,-2.35397761382273,Homo sapiens,PLRG1,,HepG2,Epithelium,Liver,1,PLRG1
42891|ZNF84,0.00465532177066086,-2.33205029569383,Homo sapiens,ZNF84,predicted transcription factor,LoVo,None,Colon,1,ZNF84
76831|SETX,0.0047711537988252,-2.32137658367068,Homo sapiens,SETX,other,A549,Epithelium,Lung,1,SETX
54634|HECTD1,0.004778380479325,-2.32071927244037,Homo sapiens,HECTD1,predicted chromatin regulator,MCF-7,Epithelium,Breast,1,HECTD1
45877|XRCC4,0.00481461646315334,-2.3174383034658,Homo sapiens,XRCC4,tf,K562,Erythroblast,Bone Marrow,0,XRCC4
74648|ETV6,0.00548088717577627,-2.26114913780047,Homo sapiens,ETV6,tf,GM12878,B Lymphocyte,Blood,1,ETV6
48240|TEAD1,0.00548510021110871,-2.260815433589,Homo sapiens,TEAD1,tf,RD,None,Muscle,1,TEAD1
36252|NKX3-1,0.00556305588907247,-2.2546865769109,Homo sapiens,NKX3-1,tf,LNCaP,Epithelium,Prostate,1,NKX3-1
77204|CTRL,0.00557459064438093,-2.25378701839887,Homo sapiens,CTRL,other,HCT-116,Colon cancer cell,Colon,1,CTRL
63186|SIX4,0.00568086607411644,-2.24558544905363,Homo sapiens,SIX4,tf,MCF-7,Epithelium,Breast,1,SIX4
71950|BANP,0.00595400575159299,-2.22519075015891,Homo sapiens,BANP,tf,HCT-116,Human colorectal carcinoma,None,0,BANP
77193|HKR1,0.00598960529007397,-2.222601796307,Homo sapiens,HKR1,tf,293T,None,None,1,HKR1
53653|CTNNB1,0.00609191272684689,-2.2152463270235,Homo sapiens,CTNNB1,tf,None,Embryonic Stem Cell,None,1,CTNNB1
77041|ZNF780A,0.00627275687645296,-2.20254154480143,Homo sapiens,ZNF780A,tf,293T,None,None,1,ZNF780A
76469|PHF2,0.00627765678221837,-2.20220243213124,Homo sapiens,PHF2,tf,None,Mesenchymal Cell,None,1,PHF2
38721|CREB3L4,0.00628282579936512,-2.20184498157378,Homo sapiens,CREB3L4,tf,LoVo,None,Colon,1,CREB3L4
1229|GTF3C1,0.00633666164059066,-2.19813948232523,Homo sapiens,GTF3C1,tf,HeLa,Epithelium,Cervix,1,GTF3C1
40348|CHD5,0.00636108120893908,-2.1964690599542,Homo sapiens,CHD5,cr,SH-SY5Y,None,Bone Marrow,1,CHD5
65133|PRDM1,0.00703896590532976,-2.15249113838576,Homo sapiens,PRDM1,tf,HEK293,Epithelium,Embryonic Kidney,1,PRDM1
77055|ZNF714,0.00722602402598921,-2.14110059876894,Homo sapiens,ZNF714,other,293T,None,None,1,ZNF714
67859|EBNA2,0.00761969534080781,-2.1180623927616,Homo sapiens,EBNA2,other,GM12878,B Lymphocyte,Blood,0,EBNA2
49742|SSU72,0.00786448469317225,-2.10432972850713,Homo sapiens,SSU72,other,H1,Embryonic Stem Cell,Embryo,1,SSU72
47774|LDB1,0.00812112885811905,-2.09038359849566,Homo sapiens,LDB1,not sure,None,Erythroid Progenitor Cell,Blood,1,LDB1
38686|SOX3,0.00814006544037338,-2.08937210367606,Homo sapiens,SOX3,predicted transcription factor,LoVo,None,Colon,0,SOX3
38800|RORA,0.0081624898576107,-2.0881773453538,Homo sapiens,RORA,tf,LoVo,None,Colon,0,RORA
63737|ZNF654,0.00838780802838535,-2.07635151778311,Homo sapiens,ZNF654,,HEK293,Epithelium,Embryonic Kidney,1,ZNF654
50112|MAFB,0.00849982869917915,-2.07058982672699,Homo sapiens,MAFB,tf,None,Keratinocyte,Foreskin,1,MAFB
51332|ASH2L,0.00885790476972537,-2.05266899307419,Homo sapiens,ASH2L,cr,VCaP,Epithelium,Prostate,1,ASH2L
77167|ZNF180,0.0090997817989173,-2.04096902137806,Homo sapiens,ZNF180,tf,293T,None,None,1,ZNF180
77178|ZNF114,0.00955571235138358,-2.01973693197439,Homo sapiens,ZNF114,tf,293T,None,None,0,ZNF114
58061|ZNF165,0.0095899886734313,-2.01818190576669,Homo sapiens,ZNF165,tf,WHIM12,Epithelium,Breast,0,ZNF165
43552|C17orf96,0.0099978114109372,-2.00009505961801,Homo sapiens,C17orf96,not sure,HEK293T,Epithelium,Embryonic Kidney,0,C17orf96
65160|ZNF528,0.0101344202582039,-1.99420109017416,Homo sapiens,ZNF528,,HEK293,Epithelium,Embryonic Kidney,1,ZNF528
73946|ZNF454,0.0104707424708689,-1.98002252180074,Homo sapiens,ZNF454,,293T,None,None,1,ZNF454
39345|USP49,0.0105674878292727,-1.97602824368184,Homo sapiens,USP49,predicted chromatin regulator,HCT-116,None,Colon,1,USP49
56997|DACOR1,0.0105708895716702,-1.97588846398761,Homo sapiens,DACOR1,other,None,None,Colon,1,DACOR1
77109|ZNF484,0.0109078737937364,-1.96225989557465,Homo sapiens,ZNF484,tf,293T,None,None,1,ZNF484
